X,Y,ID,LOCN,MPD_NAME,ADDRESS,CITY,ZIP,MPD_TYPE,MAP_TYPE,LABEL,MAP_DESC,MPD_DESC,LD,FULLNAME,CDSCODE,CHARTER,MAP_TYPE_MAPPING,TOOLTIP,NLA_URL,Campus,Budget (incl c/o) FY24,Expenditures FY24,% Exp FY24
-13192565.0401744,4068442.55916651,828,8137,FROST MS,12314 BRADFORD PL,GRANADA HILLS,91344,J,MS,Frost Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Robert Frost Middle School,19647336058275, ,MS,Name: Robert Frost Middle School\nAddress: 12314 BRADFORD PL GRANADA HILLS 91344,navigatela/reports/lausd_school_report.cfm?PK=828,FROST MS,15926759.0,15059501.089999983,0.9455471191596472
-13156185.6365717,4023981.37723442,854,3548,ELIZABETH LC,4811 ELIZABETH ST,CUDAHY,90201,EJ,SS,Elizabeth Lrng Ctr,"Span School (Span School, Special Ed School)",Span School,0,Elizabeth Learning Center,19647336016885, ,SS,Name: Elizabeth Learning Center\nAddress: 4811 ELIZABETH ST CUDAHY 90201,navigatela/reports/lausd_school_report.cfm?PK=854,ELIZABETH LC,24915566.0,19612292.87000008,0.7871502044143841
-13168549.0643186,4035520.58044062,864,8057,BERENDO MS,1157 S BERENDO ST,LOS ANGELES,90006,J,MS,Berendo Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Berendo Middle School,19647336061402, ,MS,Name: Berendo Middle School\nAddress: 1157 S BERENDO ST LOS ANGELES 90006,navigatela/reports/lausd_school_report.cfm?PK=864,BERENDO MS,12225746.0,9795337.00999997,0.8012056695763162
-13170583.8916768,4000938.78121762,874,8127,FLEMING MS,25425 WALNUT ST,LOMITA,90717,J,MS,Fleming Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Alexander Fleming Middle School,19647336057996, ,MS,Name: Alexander Fleming Middle School\nAddress: 25425 WALNUT ST LOMITA 90717,navigatela/reports/lausd_school_report.cfm?PK=874,FLEMING MS,16493293.0,15221622.280000003,0.9228977063585788
-13173263.9398101,4040623.42382258,879,8038,BANCROFT MS,929 N LAS PALMAS AVE,LOS ANGELES,90038,J,MS,Bancroft Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Hubert Howe Bancroft Middle School,19647336057871, ,MS,Name: Hubert Howe Bancroft Middle School\nAddress: 929 N LAS PALMAS AVE LOS ANGELES 90038,navigatela/reports/lausd_school_report.cfm?PK=879,BANCROFT MS,9625202.0,8163318.669999996,0.8481192051865505
-13160091.1234202,4040586.32843899,886,8264,NIGHTINGALE MS,3311 N FIGUEROA ST,LOS ANGELES,90065,J,MS,Nightingale Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Florence Nightingale Middle School,19647336058192, ,MS,Name: Florence Nightingale Middle School\nAddress: 3311 N FIGUEROA ST LOS ANGELES 90065,navigatela/reports/lausd_school_report.cfm?PK=886,NIGHTINGALE MS,13750553.0,12427108.780000033,0.9037533821367063
-13169928.0685714,4031375.01517523,901,8132,FOSHAY LC,3751 S HARVARD BLVD,LOS ANGELES,90018,EJ,SS,Foshay Learning Ctr,"Span School (Span School, Special Ed School)",Span School,0,Foshay Learning Center,19647336061451, ,SS,Name: Foshay Learning Center\nAddress: 3751 S HARVARD BLVD LOS ANGELES 90018,navigatela/reports/lausd_school_report.cfm?PK=901,FOSHAY LC,25013440.0,21359630.900000047,0.85392616529354
-13171658.6011619,4030865.73922929,902,7123,BRADLEY GLBL AWR MAG,3875 DUBLIN AVE,LOS ANGELES,90008,ES,M,Bradley Glbl Awr Mag,Magnet School,Elementary School Magnet - Self Contained,0,Thomas Bradley Elementary Politics and Government Magnet,19647336016810, ,M,Name: Thomas Bradley Elementary Politics and Government Magnet\nAddress: 3875 DUBLIN AVE LOS ANGELES 90008,navigatela/reports/lausd_school_report.cfm?PK=902,BRADLEY GLBL AWR MAG,5780569.0,4227407.599999996,0.7313134053066396
-13172211.3894393,4026142.92410668,906,4658,YES ACADEMY,3140 HYDE PARK BLVD,LOS ANGELES,90043,E,ES,YES Academy,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Elementary School,0,Young Empowered Scholars Academy,19647336017677, ,ES,Name: Young Empowered Scholars Academy\nAddress: 3140 HYDE PARK BLVD LOS ANGELES 90043,navigatela/reports/lausd_school_report.cfm?PK=906,YES ACADEMY,11380244.0,8256477.620000001,0.7255097184208003
-13162971.4894966,4020711.41439618,927,8237,MARKHAM MS,1650 E 104TH ST,LOS ANGELES,90002,J,MS,Markham Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Edwin Markham Middle School,19647336061527, ,MS,Name: Edwin Markham Middle School\nAddress: 1650 E 104TH ST LOS ANGELES 90002,navigatela/reports/lausd_school_report.cfm?PK=927,MARKHAM MS,13734469.0,11464201.660000034,0.834702940463154
-13161794.6055748,4033354.09609089,944,8757,METROPOLITAN HS,727 S WILSON ST,LOS ANGELES,90021,C,HS,Metropolitan Cont HS,"High School (High School, Academy School, Continuation High School, Newcomer School, Community Day School, Special Ed School, Magnet Center on Regular Campus)",Continuation High School,0,Metropolitan Continuation High School,19647331931468, ,HS,Name: Metropolitan Continuation High School\nAddress: 727 S WILSON ST LOS ANGELES 90021,navigatela/reports/lausd_school_report.cfm?PK=944,METROPOLITAN HS,2116366.0,1901827.330000002,0.8986287485245945
-13192713.2574814,4063707.95848377,966,8174,HENRY MS,17340 SAN JOSE ST,GRANADA HILLS,91344,J,MS,Henry Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Patrick Henry Middle School,19647336061485, ,MS,Name: Patrick Henry Middle School\nAddress: 17340 SAN JOSE ST GRANADA HILLS 91344,navigatela/reports/lausd_school_report.cfm?PK=966,HENRY MS,15430290.0,14776580.749999981,0.9576346750449914
-13180923.3912036,4065287.33624713,974,8228,MACLAY MS,12540 PIERCE AVE,PACOIMA,91331,J,MS,Maclay Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Charles Maclay Middle School,19647336058101, ,MS,Name: Charles Maclay Middle School\nAddress: 12540 PIERCE AVE PACOIMA 91331,navigatela/reports/lausd_school_report.cfm?PK=974,MACLAY MS,8207858.0,6816493.310000001,0.8304838253780708
-13195636.3870507,4053705.20826439,1002,8842,SOCES MAG,18605 ERWIN ST,RESEDA,91335,SP,M,Sherman Oaks Center for Enriched Studies,Magnet School,Span Magnet,0,Sherman Oaks Center for Enriched Studies,19647331933233, ,M,Name: Sherman Oaks Center for Enriched Studies\nAddress: 18605 ERWIN ST RESEDA 91335,navigatela/reports/lausd_school_report.cfm?PK=1002,SOCES MAG,19621361.0,17736284.55000005,0.903927334602327
-13194178.2418252,4058825.52405528,1005,8283,NORTHRIDGE MS,17960 CHASE ST,NORTHRIDGE,91325,J,MS,Northridge Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Northridge Middle School,19647336058200, ,MS,Name: Northridge Middle School\nAddress: 17960 CHASE ST NORTHRIDGE 91325,navigatela/reports/lausd_school_report.cfm?PK=1005,NORTHRIDGE MS,14523720.0,11909021.459999986,0.8199704662441845
-13191955.5467153,4054712.79610322,1010,8259,MULHOLLAND MS,17120 VANOWEN ST,VAN NUYS,91406,J,MS,Mulholland Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,William Mulholland Middle School,19647336058184, ,MS,Name: William Mulholland Middle School\nAddress: 17120 VANOWEN ST VAN NUYS 91406,navigatela/reports/lausd_school_report.cfm?PK=1010,MULHOLLAND MS,16604143.0,14771095.239999918,0.8896029888444058
-13186864.3237055,4056575.94177602,1014,8142,FULTON COLLEGE PREP,7477 KESTER AVE,VAN NUYS,91405,EJ,SS,Fulton College Prep,"Span School (Span School, Special Ed School)",Span School,0,Robert Fulton College Preparatory School,19647336058002, ,SS,Name: Robert Fulton College Preparatory School\nAddress: 7477 KESTER AVE VAN NUYS 91405,navigatela/reports/lausd_school_report.cfm?PK=1014,FULTON COLLEGE PREP,22765857.0,19589018.950000003,0.8604560307130104
-13167181.8198566,4004974.03455195,1027,2815,CAROLDALE LC,22424 CAROLDALE AVE,CARSON,90745,EJ,SS,Caroldale Lrng Comm,"Span School (Span School, Special Ed School)",Span School,0,Caroldale Learning Community,19647336016349, ,SS,Name: Caroldale Learning Community\nAddress: 22424 CAROLDALE AVE CARSON 90745,navigatela/reports/lausd_school_report.cfm?PK=1027,CAROLDALE LC,9927074.0,9347507.45000002,0.9416175854033142
-13170835.9084592,3997415.3527831,1034,8110,DODSON MS,28014 MONTEREINA DR,RANCHO PALOS VERDES,90275,J,MS,Dodson Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Rudecinda Sepulveda Dodson Middle School,19647336061436, ,MS,Name: Rudecinda Sepulveda Dodson Middle School\nAddress: 28014 MONTEREINA DR RANCHO PALOS VERDES 90275,navigatela/reports/lausd_school_report.cfm?PK=1034,DODSON MS,16052258.0,14743177.530000068,0.9184488269500819
-13170120.3950917,3994035.75157912,1036,1957,WILLENBERG SP ED CTR,308 WEYMOUTH AVE,SAN PEDRO,90731,H,SS,Willenberg Spec Ed Ctr,"Span School (Span School, Special Ed School)",Handicapped (Special Ed),0,Ernest P. Willenberg Special Education Center,19647336060503, ,SS,Name: Ernest P. Willenberg Special Education Center\nAddress: 308 WEYMOUTH AVE SAN PEDRO 90731,navigatela/reports/lausd_school_report.cfm?PK=1036,WILLENBERG SP ED CTR,8313585.0,8506387.329999978,1.0231912381962749
-13168624.5502656,3992639.84226905,1042,8104,DANA MS,1501 S CABRILLO AVE,SAN PEDRO,90731,J,MS,Dana Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Richard Henry Dana Middle School,19647336057954, ,MS,Name: Richard Henry Dana Middle School\nAddress: 1501 S CABRILLO AVE SAN PEDRO 90731,navigatela/reports/lausd_school_report.cfm?PK=1042,DANA MS,21117829.0,18639050.91000001,0.8826215474137996
