X,Y,ID,LOCN,MPD_NAME,ADDRESS,CITY,ZIP,MPD_TYPE,MAP_TYPE,LABEL,MAP_DESC,MPD_DESC,LD,FULLNAME,CDSCODE,CHARTER,MAP_TYPE_MAPPING,TOOLTIP,NLA_URL,Campus,Budget (incl c/o) FY24,Expenditures FY24,% Exp FY24,Pct_Met_Above,Mean_Score,Participation Rate (%),Funding_Level
-13166434.875603,4025880.8918021,617,8060,BETHUNE MS,155 W 69TH ST,LOS ANGELES,90003,J,MS,Bethune Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Mary McLeod Bethune Middle School,19647336058143, ,MS,Name: Mary McLeod Bethune Middle School\nAddress: 155 W 69TH ST LOS ANGELES 90003,navigatela/reports/lausd_school_report.cfm?PK=617,BETHUNE MS,16368413.0,13499208.139999991,0.8247108708706209,26.055,2474.5333333333333,97.10129882557149,High
-13184299.9139495,4066811.68323136,631,8358,SAN FERNANDO MS,130 N BRAND BLVD,SAN FERNANDO,91340,J,MS,San Fernando Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,San Fernando Middle School,19647336058283, ,MS,Name: San Fernando Middle School\nAddress: 130 N BRAND BLVD SAN FERNANDO 91340,navigatela/reports/lausd_school_report.cfm?PK=631,SAN FERNANDO MS,11019151.0,8919693.770000003,0.8094719611338481,27.16,2471.6666666666665,96.15244874036743,Low
-13157817.2118861,4044370.81600159,633,8643,FRANKLIN HS,820 N AVE 54,LOS ANGELES,90042,S,HS,Franklin High,"High School (High School, Academy School, Continuation High School, Newcomer School, Community Day School, Special Ed School, Magnet Center on Regular Campus)",High School,0,Benjamin Franklin High School,19647331933043, ,HS,Name: Benjamin Franklin High School\nAddress: 820 N AVE 54 LOS ANGELES 90042,navigatela/reports/lausd_school_report.cfm?PK=633,FRANKLIN HS,20251607.0,19284145.080000028,0.9522278938160328,32.636,2502.725,98.46370439158218,High
-13164339.6194526,4036342.24257814,665,8497,SECONDARY CDS,"333 S BEAUDRY AVE., 18TH FL",LOS ANGELES,90017,CDS,O,Secondary CDS,"Adult Education, Skill Center, Occupational Center, Opportunity School, Community Day School",Opportunity School and Unit,0,Secondary Community Day School,19647331996651, ,O,"Name: Secondary Community Day School\nAddress: 333 S BEAUDRY AVE., 18TH FL LOS ANGELES 90017",navigatela/reports/lausd_school_report.cfm?PK=665,SECONDARY CDS,2328633.0,1811979.76,0.778130242077648,23.590000000000003,2480.8,96.77863872598714,Low
-13167418.0982139,4005416.14633586,666,8487,WHITE MS,22102 S FIGUEROA,CARSON,90745,J,MS,White Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Stephen M. White Middle School,19647336058366, ,MS,Name: Stephen M. White Middle School\nAddress: 22102 S FIGUEROA CARSON 90745,navigatela/reports/lausd_school_report.cfm?PK=666,WHITE MS,22455591.0,17961211.659999978,0.7998547738066648,49.3225,2541.2999999999997,98.20373692100364,High
-13168324.1077258,4027019.58736458,676,8255,MUIR MS,5929 S VERMONT AVE,LOS ANGELES,90044,J,MS,Muir Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,John Muir Middle School,19647336058176, ,MS,Name: John Muir Middle School\nAddress: 5929 S VERMONT AVE LOS ANGELES 90044,navigatela/reports/lausd_school_report.cfm?PK=676,MUIR MS,13301272.0,10144826.869999984,0.7626959940372608,16.99,2450.9333333333334,95.72347066014217,Low
-13169517.409261,4065031.59877451,699,8240,MOUNT GLEASON MS,10965 MT GLEASON AVE,SUNLAND,91040,J,MS,Mount Gleason Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Mount Gleason Middle School,19647336058168, ,MS,Name: Mount Gleason Middle School\nAddress: 10965 MT GLEASON AVE SUNLAND 91040,navigatela/reports/lausd_school_report.cfm?PK=699,MOUNT GLEASON MS,11401673.0,10956642.390000025,0.960967955316735,46.894999999999996,2535.7333333333336,97.6345240037416,Low
-13180026.7817141,4054262.26644305,703,8116,ROMER MS,6513 LAUREL CANYON BLVD,LOS ANGELES,91606,J,MS,Romer Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Roy Romer Middle School,19647330117044, ,MS,Name: Roy Romer Middle School\nAddress: 6513 LAUREL CANYON BLVD LOS ANGELES 91606,navigatela/reports/lausd_school_report.cfm?PK=703,ROMER MS,14890463.0,11052783.000000024,0.7422726210729662,32.215,2495.9,95.55656892912009,Low
-13187581.3627286,4061218.95352556,715,8363,SEPULVEDA MS,15330 PLUMMER ST,NORTH HILLS,91343,J,MS,Sepulveda Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Francisco Sepulveda Middle School,19647336058291, ,MS,Name: Francisco Sepulveda Middle School\nAddress: 15330 PLUMMER ST NORTH HILLS 91343,navigatela/reports/lausd_school_report.cfm?PK=715,SEPULVEDA MS,20753883.0,15560533.480000025,0.7497649225448569,22.134999999999998,2465.766666666667,97.15728000496927,High
-13165933.8685038,4019678.1166518,724,8160,GOMPERS MS,234 E 112TH ST,LOS ANGELES,90061,J,MS,Gompers Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Samuel Gompers Middle School,19647336058028, ,MS,Name: Samuel Gompers Middle School\nAddress: 234 E 112TH ST LOS ANGELES 90061,navigatela/reports/lausd_school_report.cfm?PK=724,GOMPERS MS,10509851.0,8952860.899999961,0.8518542175336227,14.2225,2428.1666666666665,97.60903171955555,Low
